3
Input Files/1.txt
Input Files/10.txt
Input Files/2.txt
0 5000
felicia 1 1 
fell 1 1 
female 1 1 
fennel 1 1 
ferragamo 1 1 
fetal 1 1 
feverish 1 1 
few 1 1 
fey 1 1 
fezza 1 1 
fiddle 1 1 
fifteen 1 1 
fifties 1 1 
fifty 1 1 
figure 1 1 
file 1 1 
filing 1 1 
filled 1 1 
fills 1 1 
film 1 1 
final 1 1 
finally 1 1 
financial 1 1 
find 1 1 
finding 1 1 
finds 1 1 
fine 1 1 
finger 1 1 
fingering 1 1 
fingers 1 1 
finish 1 1 
finishes 1 1 
finishing 1 1 
finlandia 1 1 
fire 1 1 
firebombed 1 1 
fired 1 1 
firmly 1 1 
first 1 1 
fisher 1 1 
fishing 1 1 
fist 1 1 
fit 1 1 
